check_id,title,status,reason,expected,observed,physical_meaning,blocks_mature_route_release
shared_route_behavior_0620,Shared route behavior preserves mature 0620 gates,pass,route_behavior must stay pinned to the mature V1.5 0620 timing/QC contract,preserve_mature_v1_5_0620_route_timing_and_quality_gates,preserve_mature_v1_5_0620_route_timing_and_quality_gates,Algorithm or report changes must not rewrite the mature physical gas/water route timing and QC behavior.,False
shared_route_runner_names,CO2/H2O mature queue runners are shared,pass,old/new algorithm profiles must point at the same mature CO2/H2O queue runners,"{""co2"": ""gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue"", ""h2o"": ""gas_calibrator.tools.run_v1_5_formal_h2o_open_flow_queue""}","{""absorption_co2"": ""gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue"", ""absorption_h2o"": ""gas_calibrator.tools.run_v1_5_formal_h2o_open_flow_queue"", ""legacy_co2"": ""gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue"", ""legacy_h2o"": ""gas_calibrator.tools.run_v1_5_formal_h2o_open_flow_queue"", ""shared_co2"": ""gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue"", ""shared_h2o"": ""gas_calibrator.tools.run_v1_5_formal_h2o_open_flow_queue""}","New algorithm differences are allowed in fit inputs and write contracts, not in the route runner identity.",False
legacy_default_profile,Legacy ratio remains the production default profile,pass,legacy ratio production remains default until absorption production blockers are closed,"{""absorption_production_default"": false, ""default_profile_id"": ""legacy_ratio_production"", ""legacy_production_default"": true}","{""absorption_production_default"": false, ""default_profile_id"": ""legacy_ratio_production"", ""legacy_production_default"": true}",A new algorithm profile may exist as a candidate without silently becoming the production route.,False
legacy_co2_45_point_contract,Legacy CO2 mature route stays at 45 points,pass,legacy CO2 point count and temperature/ppm plan must not drift,"{""formal_point_count"": 45, ""temperature_plan"": {""-10"": [0, 400, 1000], ""-20"": [0, 400, 1000], ""0"": [0, 400, 1000], ""10"": [0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000], ""20"": [0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000], ""30"": [0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000], ""40"": [0, 400, 1000]}}","{""formal_point_count"": 45, ""temperature_plan"": {""-10"": [0, 400, 1000], ""-20"": [0, 400, 1000], ""0"": [0, 400, 1000], ""10"": [0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000], ""20"": [0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000], ""30"": [0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000], ""40"": [0, 400, 1000]}}","CO2 production fitting uses the mature 45-point open-flow gas route, not ad hoc replay or diagnostic points.",False
legacy_h2o_13_point_contract,Legacy H2O mature route stays at 13 wet points,pass,legacy H2O wet point count and temperature/HGEN plan must not drift,"{""formal_point_count"": 13, ""temperature_plan"": {""0"": [""HGEN0C_50RH""], ""10"": [""HGEN10C_30RH"", ""HGEN10C_50RH"", ""HGEN10C_70RH""], ""20"": [""HGEN20C_30RH"", ""HGEN20C_50RH"", ""HGEN20C_70RH""], ""30"": [""HGEN20C_30RH"", ""HGEN20C_50RH"", ""HGEN20C_70RH"", ""HGEN20C_90RH""], ""40"": [""HGEN30C_50RH"", ""HGEN30C_70RH""]}}","{""formal_point_count"": 13, ""temperature_plan"": {""0"": [""HGEN0C_50RH""], ""10"": [""HGEN10C_30RH"", ""HGEN10C_50RH"", ""HGEN10C_70RH""], ""20"": [""HGEN20C_30RH"", ""HGEN20C_50RH"", ""HGEN20C_70RH""], ""30"": [""HGEN20C_30RH"", ""HGEN20C_50RH"", ""HGEN20C_70RH"", ""HGEN20C_90RH""], ""40"": [""HGEN30C_50RH"", ""HGEN30C_70RH""]}}",H2O production fitting uses the mature 13-point wet route; dry/low-water anchors are separate evidence roles.,False
legacy_ratio_fit_input_contract,Legacy fit inputs remain ratio based,pass,legacy production profile must not silently switch from ratio R to absorption A,"{""algorithm_mode"": ""legacy_ratio_R"", ""co2"": ""R_CO2"", ""h2o"": ""R_H2O""}","{""algorithm_mode"": ""legacy_ratio_R"", ""co2"": ""R_CO2"", ""h2o"": ""R_H2O""}",Old algorithm replay/fitting should continue to interpret measured ratios directly.,False
absorption_profile_fit_input_only,"Absorption profile changes fit input, not route action",pass,"new algorithm may add candidate evidence, but the mature route baseline remains 45/13","{""algorithm_mode"": ""absorption_ratio_A"", ""co2_candidate"": 47, ""co2_formal"": 45, ""formula"": ""A=-ln(R/R0(T))/(P_kPa/100)"", ""h2o_candidate_wet"": 14, ""h2o_formal_wet"": 13}","{""algorithm_mode"": ""absorption_ratio_A"", ""co2_candidate"": 47, ""co2_formal"": 45, ""formula"": ""A=-ln(R/R0(T))/(P_kPa/100)"", ""h2o_candidate_wet"": 14, ""h2o_formal_wet"": 13}",Absorption A is a fitting-layer change; it does not justify changing mature gas/water route sequencing.,False
supplement_points_do_not_modify_legacy_queue,New algorithm supplement points cannot modify legacy queues,pass,"supplement points are candidate evidence, not legacy queue edits","{""co2_candidate_only"": true, ""co2_must_not_modify_legacy"": true, ""h2o_candidate_only"": true, ""h2o_must_not_modify_legacy"": true}","{""co2_candidate_only"": true, ""co2_must_not_modify_legacy"": true, ""h2o_candidate_only"": true, ""h2o_must_not_modify_legacy"": true}",Supplemental points are run as normal gas/water points only when selected by the new algorithm profile.,False
r0_writer_contract_blocks_absorption_release,SENCOA/SENCOB R0 writer remains a production blocker,pass,absorption profile cannot be complete production until R0 writer/readback exists,blocked_until_controlled_sencoa_sencob_writer_exists,"{""components"": [{""coefficient_group"": ""SENCOA"", ""component"": ""co2"", ""controlled_writer"": """", ""controlled_writer_status"": ""missing_controlled_writer"", ""fit_input_equation"": ""A_CO2=-ln(R_CO2/R0_CO2(T))/(P_kPa/100)"", ""notes"": ""R0_CO2 is required before the absorption profile can be called a complete production chain."", ""payload_contract"": ""R0_CO2_temperature_polynomial_or_reviewed_table_coefficients"", ""physical_quantity"": ""R0_CO2(T)"", ""production_blocker"": true, ""r0_source"": ""co2_zero_gas_only"", ""readback_group"": ""GETCOA"", ""readback_required"": true}, {""coefficient_group"": ""SENCOB"", ""component"": ""h2o"", ""controlled_writer"": """", ""controlled_writer_status"": ""missing_controlled_writer"", ""fit_input_equation"": ""A_H2O=-ln(R_H2O/R0_H2O(T))/(P_kPa/100)"", ""notes"": ""R0_H2O must use dewpoint/pressure/T1-backed residual-water evidence and must not force dry-gas water to zero."", ""payload_contract"": ""R0_H2O_temperature_polynomial_or_reviewed_table_coefficients"", ""physical_quantity"": ""R0_H2O(T)"", ""production_blocker"": true, ""r0_source"": ""co2_zero_gas_h2o_ratio_plus_dewpoint_pressure_evidence"", ""readback_group"": ""GETCOB"", ""readback_required"": true}], ""controlled_writer_preflight_tool"": ""gas_calibrator.tools.export_v1_5_sencoa_sencob_controlled_writer_preflight"", ""minimum_serial_command_gap_s"": 1.0, ""offline_writer_design_tool"": ""gas_calibrator.tools.export_v1_5_sencoa_sencob_writer_design_review"", ""payload_width"": 4, ""status"": ""blocked_until_controlled_sencoa_sencob_writer_exists"", ""write_requires"": [""R0_CO2_T_and_R0_H2O_T_model_review"", ""old_GETCOA_GETCOB_snapshot"", ""controlled_SENCOA_SENCOB_writer"", ""readback_verification"", ""rollback_to_old_GETCOA_GETCOB"", ""independent_CO2_and_H2O_no_write_reverification""], ""writer_implementation_status"": ""missing_real_writer_design_only""}",R0_CO2(T) and R0_H2O(T) are physical calibration models that require controlled SENCOA/SENCOB write/readback contracts.,False
co2_zero_h2o_dry_anchor_separation,CO2 zero gas and H2O dry anchor stay separate,pass,low-end anchors must preserve their measured physical quantity,CO2 zero gas distinct from H2O dry/low-water anchor,"{""absorption_h2o_r0_policy"": {""fit_input_equation"": ""ln(R_H2O)=ln(R0_H2O(T))-k(T)*H2O_residual*(P_kPa/100)"", ""minimum_distinct_temperature_count"": 3, ""must_not_force_residual_water_to_zero"": true, ""must_not_use_co2_zero_gas_as_h2o_zero"": true, ""offline_anchor_tool"": ""gas_calibrator.tools.export_v1_5_h2o_low_anchor_from_co2_zero"", ""preferred_distinct_temperature_count"": 5, ""r0_source"": ""co2_zero_gas_h2o_ratio_plus_dewpoint_pressure_evidence""}, ""legacy_co2_anchor_policy"": {""co2_zero_gas_required_for_low_end_contract"": true, ""h2o_dry_anchor_role"": ""not_used_as_co2_anchor""}, ""shared"": {""analyzer_runtime"": {""active_upload_hz"": 1, ""minimum_serial_command_gap_s"": 1.0, ""mode"": ""MODE2""}, ""co2_runner"": ""gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue"", ""co2_zero_anchor_distinct_from_h2o_dry_anchor"": true, ""h2o_dry_anchor_requires_dewpoint_pressure_temperature_bridge"": true, ""h2o_runner"": ""gas_calibrator.tools.run_v1_5_formal_h2o_open_flow_queue"", ""pressure_sequence"": ""SENCO9_first"", ""route_behavior"": ""preserve_mature_v1_5_0620_route_timing_and_quality_gates"", ""temperature_coefficients"": ""neutral_by_default_for_both_algorithms""}}",CO2 zero gas constrains CO2; H2O dry/low-water anchors require dewpoint/pressure/T evidence and are not forced to zero.,False
