check_id,area,issue,required_rule,status,next_action
CFG-001,baseline,"Mature reference accidentally treated as 0624/migration path","Use 0613 fitting and 0620/0621 physical execution as baseline; 0624 is not mature reference","required","Add guard/test that production old-algorithm queue declares mature baseline evidence"
CFG-002,workspace,"Root directory is dirty and not a reliable V1.5 formal baseline","Do not use D:\gas_calibrator root dirty diff as production V1.5 baseline","required","Do future code packages from clean main worktree or reviewed mature worktree"
ROUTE-001,CO2 route,"COM22 rose to 1400 hPa in migrated path","CO2 open-flow must preserve 0620/0621 vent-hold/atmospheric pressure behavior","required","Compare current sampling kernel against mature 0620/0621 before any formal run"
ROUTE-002,H2O route,"H2O path risk of migration logic","H2O formal route must use 0620/0621 mature humidity-generator and point-internal timing","required","Do not use 0624 handoff H2O queue as maturity reference"
ROUTE-003,point failure,"One analyzer ratio instability can abort whole point","Only public physical gates fail the point; per-analyzer instability becomes quality grade","required","Add per-analyzer quality policy to formal point contract"
ROUTE-004,dewpoint,"Dry gate can be confused with pressure/route failure","Dry-gas point failure must name dewpoint vs pressure vs route separately","required","Ensure failure audit reports physical gate category"
PRESS-001,pressure,"PACE pressure command used wrong pressure mouth","Use PACE INL absolute pressure for mature pressure/S9 review","required","Keep validate_pressure_only INL fix and add regression guard"
PRESS-002,S9,"GA04 needed linear S9 exception","S9 default offset-only; linear S9 requires explicit exception, write/readback, and pressure-only reverify","required","Document GA04-style exception as special path, not default"
INIT-001,identity,"SN/device_code and protocol ID were conflated","SN/device_code is production identity; protocol ID is command alias; COM/GA is transport mapping","required","Keep identity closeout before route readiness"
INIT-002,neutral,"S5/S6/S7/S8 neutrality was incomplete early","Old algorithm initialization must confirm S5/S6/S7/S8 as neutral before route unless reviewed otherwise","required","Keep read-only GETCO and controlled neutralization closeout"
INIT-003,GETCO,"GETCO read command was wrong in early read-only executor","Use GETCO,YGAS,FFF,n and scan through active frames","required","Retain GETCO command/readback tests"
FIT-CO2-001,CO2 fit,"S1/S3 candidate used wrong firmware temperature basis","Replay S1/S3 against firmware-compatible temperature basis before write","required","Add S1/S3 firmware-mouth guard in fit review"
FIT-CO2-002,CO2 fit,"S5 final layer was needed to pass short verification","Treat S5 as final affine layer composed with current GETCO5","required","Always read GETCO5 before S5 calculation"
FIT-CO2-003,CO2 write,"SENCO5 neutral write can be unsafe","Use CLEARSENCO5,YGAS,FFF before final S5 write","required","Block S5 neutralization via plain SENCO5,0,1"
FIT-H2O-001,H2O fit,"Segmented H2O runs gave inconsistent state","Do not mix staged evidence without physical-state and coefficient-state labels","required","Add state partitioning to H2O fit review"
FIT-H2O-002,H2O fit,"005 raw verification and fitted residual were different","Report raw verification error separately from model residual/no-write candidate","required","Use evidence vocabulary in reports"
FIT-H2O-003,H2O fit,"S2/S4 and S6 responsibilities were blurred","S2/S4 is main H2O model; S6 is separate final affine layer","required","Keep S6 separate in write review and reports"
FIT-H2O-004,H2O anchor,"CO2 zero gas and H2O dry-gas point can be confused","Keep CO2 zero gas and H2O dry-gas/low-water anchor physically separate","required","Do not collapse anchor terms in future fitting code"
EVID-001,evidence,"No-write math can be mistaken for real pass","no_write_candidate is not real_pass until write/readback/reverify","required","Add status vocabulary guard"
EVID-002,evidence,"Smoke tests can be mistaken for formal points","Smoke/diagnostic points are diagnostic_only unless explicitly promoted with evidence","required","Mark smoke runs superseded or diagnostic_only"
EVID-003,evidence,"Prewrite and postwrite data mixed in CO2/H2O decisions","Coefficient state must be partitioned before fitting","required","Require coefficient-state id in fit input registry"
DB-001,database,"Database import could receive review-only evidence","PostgreSQL/import/archive require real_pass gates only","required","Keep release/import locks until evidence states close"
NEXT-001,next package,"Need program guard before more live changes","Next package should be mature-path contract guard, not route rewrite","recommended","Create clean PR with docs/checklist and tests"
