task_id,priority,task_status,route_kind,point_name,point_dir,root_classification,lineage_classification,accepted_manifest_member,accepted_manifest_status,accepted_manifest_warning,same_physical_accepted_composite_alternative_exists,gap_codes,recommended_actions,same_point_evidence_only,cross_run_qc_direct_bind_allowed,automatic_qc_derivation_allowed,offline_evidence_recovery_review_allowed,continuous_route_attestation_allowed,formal_fit_allowed,formal_release_allowed,database_import_allowed
legacy_evidence_gap_0001,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p001_T40_0ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0002,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p002_T40_400ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0003,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p003_T40_1000ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0004,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p004_T30_0ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0005,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p005_T30_100ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0006,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p006_T30_200ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0007,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p007_T30_300ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0008,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p008_T30_400ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0009,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p009_T30_500ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p009_T30_500ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0010,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p010_T30_600ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p010_T30_600ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0011,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p011_T30_700ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p011_T30_700ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0012,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p012_T30_800ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p012_T30_800ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0013,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p013_T30_900ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p013_T30_900ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0014,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p014_T30_1000ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p014_T30_1000ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0015,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p015_T20_0ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p015_T20_0ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0016,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p016_T20_100ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p016_T20_100ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
