role,relative_path,status,observed_schema,observed_status,sha256,physical_meaning,reasons
production_gap_freeze,docs/v1_5_flow_contract/final_production_gap_freeze/v1_5_final_production_gap_freeze.json,pass,v1_5_final_production_gap_freeze_v1,production_gap_scope_frozen_offline_replay_next,3fc73e53cdb617f6a5ef95ceae9b664f176cf3803f124179d146e8f9d8032d08,Freezes the seven reviewed production gaps and prevents scope drift.,
legacy_full_flow_offline_replay,docs/v1_5_flow_contract/legacy_full_flow_offline_replay/v1_5_legacy_full_flow_offline_replay.json,pass,v1_5_legacy_full_flow_offline_replay_v1,legacy_full_flow_replay_complete_production_evidence_incomplete,b696704beacd11b07f926ec964733a93ad233fe69541640a89db0d9810943a3b,Proves the mature legacy stage order while retaining real-evidence holds.,
mature_route_contract,docs/v1_5_flow_contract/mature_route_contract/v1_5_mature_route_contract.json,pass,v1_5_mature_route_contract_v1,pass,7f40a81ca97d8f09c6dd0d1593d615c498823760c38f849dd8c5b6a6ac03d359,Protects the 0613 fitting and 0620/0621 physical route baselines.,
production_entrypoint_gate,docs/v1_5_flow_contract/production_entrypoint_gate/v1_5_production_entrypoint_gate.json,pass,v1_5_production_entrypoint_gate_v1,pass,c689d3883fc8c40f3e4a1d1908fb86daf368ae454b9b447832beef115d5680a1,"Blocks migration, diagnostic, worker, V1, V2, and handoff surfaces from formal plans.",
historical_replay_contract,docs/v1_5_flow_contract/historical_replay_contract/v1_5_historical_replay_contract.json,pass,v1_5_historical_replay_contract_v1,pass,693722af369a8bd00e46a05991c278f88f03e97253ce6ab01d1fff6fbe83ef21,"Keeps historical replay explanatory, component-aware, and non-promotional.",
production_component_qc_fit_matrix,docs/v1_5_flow_contract/production_component_qc_fit_matrix/v1_5_production_component_qc_fit_matrix.json,pass,v1_5_production_component_qc_fit_matrix_v1,production_component_qc_evaluated_fit_matrix_blocked_by_continuity,f14e32694131634461844d0538956ce4e93b80455fc9b9a7de4d10461c36bfc7,Exercises production QC and 0613 strategies without inventing continuous-route evidence.,
unified_controlled_write_reverify,docs/v1_5_flow_contract/unified_controlled_write_reverify/v1_5_unified_controlled_write_readback_reverify.json,pass,v1_5_unified_controlled_write_readback_reverify_v1,blocked_no_fit_approved_candidate,5489af942cdce8ae1099c707d49fea2735205c8a249003b107da2e690ac90f14,"Freezes calc, authorization, write, readback, rollback, and reverify as separate events.",
new_algorithm_47_14_handoff,docs/v1_5_flow_contract/new_algorithm_mature_queue_live_handoff/v1_5_new_algorithm_mature_queue_live_handoff.json,pass,v1_5_new_algorithm_mature_queue_live_handoff_v1,offline_contract_ready_live_execution_blocked,41d799323961018f7550a8a46a51ba6bdc18d9e4d8c34b40d939dd31cb568387,Binds 47/14 profile inputs to mature runners without enabling a live queue.,
postgresql18_transaction_plan,docs/v1_5_flow_contract/formal_database_import_transaction_plan/v1_5_formal_database_import_transaction_plan.json,pass,v1_5_formal_database_import_transaction_plan_v1,ready_for_postgresql18_transaction_plan_review,4966e9da8758f1f7f6bce050b6b14796094d73d9acd682a8c3a21a59a4b2b2a5,Freezes PostgreSQL 18 transaction semantics while keeping SQL and connections absent.,
postgresql18_blocked_executor,docs/v1_5_flow_contract/formal_database_import_transaction_blocked_executor/v1_5_formal_database_import_transaction_blocked_executor.json,pass,v1_5_formal_database_import_transaction_blocked_executor_v1,blocked_pending_controlled_transaction_executor,e0068aeb5133ab36f756e5730b58690ad29d0c870a09afcc49c9b0671940c7b7,Proves that no real PostgreSQL transaction executor is available in this package.,
formal_run_status_locks,docs/v1_5_flow_contract/final_acceptance_status/v1_5_formal_run_status.json,pass,v1_5_formal_run_status_v1,review_required,ea35b214d630da22bb8a2b9ce15fc886b9a1d34ccbcffe78ce7bafdb21fb19a4,"Keeps current release, database, and physical continuation decisions conservative.",
