run_dir,route_kind,artifact,point_run_id,point_id,status,severity,category,root_cause,physical_meaning,required_action,fit_eligibility_policy
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams,co2,co2_6old_0620clean_mature45_g3_finalparams/queue_manifest.csv,p002_T40_400ppm_fit,,failed,blocker,dry_gas_dewpoint_rebound_or_not_dry_enough,The dry-gas route did not hold a stable dry dewpoint before sampling.,CO2 zero gas still contained unstable residual water or the dry route/line was re-wetting.,Do not fit this point; dry/purge the route and rerun the point or select a reviewed retry.,requires_superseded_retry_or_exclusion
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams,co2,co2_6old_0620clean_mature45_g3_finalparams/queue_manifest.csv,p003_T40_1000ppm_fit,,running,blocker,stale_running_manifest_with_completed_point_artifacts,Queue manifest was not finalized after point artifacts were written.,"The physical point may be usable, but the queue-level state is stale and cannot prove continuous execution.",Regenerate or review the accepted manifest; do not treat the original queue as continuous.,requires_accepted_manifest_supersedence
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,co2,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams/queue_manifest.csv,p015_T20_300ppm_fit,,failed,blocker,pressure_controller_vent_no_response,PACE atmosphere vent command returned NO_RESPONSE during startup/pre-point reset.,The route could not prove atmospheric vent-hold before opening the flow path.,"Stop the queue, recover PACE communication/vent state, then rerun from a clean queue segment.",failed_point_not_fit_eligible
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,co2,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams/queue_manifest.csv,p016_T20_400ppm_fit,,running,blocker,stale_running_manifest_with_completed_point_artifacts,Queue manifest was not finalized after point artifacts were written.,"The physical point may be usable, but the queue-level state is stale and cannot prove continuous execution.",Regenerate or review the accepted manifest; do not treat the original queue as continuous.,requires_accepted_manifest_supersedence
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams,co2,co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams/queue_manifest.csv,p001_T20_500ppm_fit,,running,blocker,running_manifest_without_completed_point_artifacts,Queue stopped or was interrupted before the point completed.,No closed point-level evidence exists for this manifest row.,Rerun the point from a clean queue segment.,not_fit_eligible
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams,co2,co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams/queue_manifest.csv,p001_T20_500ppm_fit,,running,blocker,running_manifest_without_completed_point_artifacts,Queue stopped or was interrupted before the point completed.,No closed point-level evidence exists for this manifest row.,Rerun the point from a clean queue segment.,not_fit_eligible
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8c_T20_500_direct_240purge_finalparams,co2,.,,,,review,direct_or_retry_point_without_queue_manifest,A completed point was produced outside a closed formal queue manifest.,The point can only be considered through explicit supersedence/accepted-manifest review.,Bind it into an accepted manifest with the failed point it supersedes; never call it continuous.,review_only_until_accepted_manifest
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8c_T20_500_direct_240purge_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8d_T20_600_direct_240purge_finalparams,co2,.,,,,review,direct_or_retry_point_without_queue_manifest,A completed point was produced outside a closed formal queue manifest.,The point can only be considered through explicit supersedence/accepted-manifest review.,Bind it into an accepted manifest with the failed point it supersedes; never call it continuous.,review_only_until_accepted_manifest
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8d_T20_600_direct_240purge_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8e_T20_700_direct_240purge_finalparams,co2,.,,,,review,direct_or_retry_point_without_queue_manifest,A completed point was produced outside a closed formal queue manifest.,The point can only be considered through explicit supersedence/accepted-manifest review.,Bind it into an accepted manifest with the failed point it supersedes; never call it continuous.,review_only_until_accepted_manifest
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8e_T20_700_direct_240purge_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8f_T20_800_direct_240purge_finalparams,co2,.,,,,review,direct_or_retry_point_without_queue_manifest,A completed point was produced outside a closed formal queue manifest.,The point can only be considered through explicit supersedence/accepted-manifest review.,Bind it into an accepted manifest with the failed point it supersedes; never call it continuous.,review_only_until_accepted_manifest
