check_id,status,severity,topic,requirement,forbidden_failure_mode
AUTO-CORE-001,pass,blocker,mature_core,"V1.5 automation must call the 0613 fitting baseline and the 0620/0621 mature physical execution path; automation is a shell, not a rewritten route kernel.",Do not patch migrated/root/0624 route logic until it appears equivalent.
AUTO-CORE-002,pass,blocker,protected_files,"This contract package must not modify protected mature route, protocol, default, or app-entry files.",Do not mix automation documentation with live runner/protocol/default_config edits.
AUTO-ENTRY-001,pass,blocker,entrypoints,"Production launchers are initialization, pre-gas readiness, mature CO2/H2O queues, no-write fit review, controlled write, reverify, archive, and database dry-run/import gates.","Do not start production from diagnostic, replay, root migration, 0624, V1/V2, or _handoff scripts."
AUTO-ROUTE-001,pass,blocker,legacy_route,Legacy production remains CO2 45 points and H2O 13 wet points unless a separate reviewed profile says otherwise.,Do not accidentally run the new-algorithm 47/14 plan for legacy analyzers.
AUTO-ROUTE-002,pass,blocker,point_quality,"Analyzer-local ratio instability downgrades that analyzer/point quality; public physical gates such as pressure, route, dewpoint, and source failure are the point-level blockers.",Do not fail a whole point only because one analyzer misses the ratio threshold.
AUTO-PRESS-001,pass,blocker,pressure,Pressure uses PACE INL absolute pressure evidence before CO2/H2O route execution.,Do not use the wrong PACE pressure query as S9 readiness evidence.
AUTO-FIT-001,pass,blocker,co2_fit,"CO2 fitting uses S1/S3 as the main model and S5 as a final linear layer; S5 writes must account for current GETCO5 state and prefer CLEARSENCO5,YGAS,FFF before writing.",Do not treat S5 as a naive overwrite or skip live GETCO5 composition.
AUTO-FIT-002,pass,blocker,h2o_fit,H2O fitting uses S2/S4 as the main model and S6 as a separate final linear layer.,Do not mix S6 from one fit strategy with incompatible S2/S4 coefficients.
AUTO-FIT-003,pass,blocker,anchors,Keep CO2 zero gas and H2O dry-gas or low-water anchor physically separate.,Do not collapse CO2 zero gas into an unconditional H2O zero anchor.
AUTO-EVID-001,pass,blocker,evidence_state,"Separate real_pass, no_write_candidate, diagnostic_only, review_required, superseded, and rejected evidence states.","Do not use no-write math, smoke tests, or diagnostic points as production fit evidence by default."
AUTO-DB-001,pass,blocker,database,PostgreSQL 18 import remains after archive/release gates and SN/device_code traceability are closed.,"Do not import calibration data before final archive, readback, and reverify evidence are complete."
AUTO-LIVE-001,pass,blocker,live_actions,"This contract is offline only and does not execute COM, route, pressure, database, or coefficient writes.",Do not attach a live executor to this contract package.
