gate_id,status,reason,next_action,blocks_release,blocks_physical_flow
initialization_readiness,missing,initialization readiness sidecar missing,Generate or refresh initialization readiness before any open-flow step.,True,True
identity_getco_sn_traceability,missing,identity/GETCO readiness sidecar missing,Refresh read-only GETCO/SN identity evidence or resolve traceability review before release.,True,True
pre_gas_readiness,missing,pre-gas readiness sidecar missing,Close pre-gas gaps before starting mature CO2/H2O open-flow queues.,True,True
pressure_senco9_pre_open_flow,review_required,pressure_quick_check=missing,Complete pressure/SENCO9 no-write review or controlled pressure write package before gas flow.,True,True
formal_database_import_preflight,review_required,source_status=review_required; review_required_count=1; dsn_configured=False,"Review DSN configuration, migration lock, archive-release dependency, and explicit import authorization before running any separate production database import.",False,False
formal_database_import_authorization,review_required,source_status=review_required; review_required_count=3; preflight_ready=False; archive_release_ready=False; manual_authorization_ready=False; database_import_allowed=False,"Complete archive release and manual import authorization, then run a separate controlled database import command that consumes this authorization artifact.",False,False
formal_database_import_command_contract,review_required,source_status=review_required; review_required_count=4; authorization_ready=False; preflight_ready=False; archive_release_ready=False; evidence_bundle_ready=False; command_contract_ready=False,"Review the no-connect import command contract. A separate controlled command must consume the contract, authorization, preflight, archive, evidence bundle, and DSN env before any production import.",False,False
co2_open_flow_mature_queue,review_required,co2_open_flow=missing,Run or register the mature V1.5 CO2 open-flow queue evidence.,True,False
h2o_open_flow_mature_queue,review_required,h2o_open_flow=missing,Run or register the mature V1.5 H2O open-flow queue evidence.,True,False
candidate_fit_review,review_required,candidate_review=partial,Run no-write candidate fitting/QC review before any controlled write package.,True,False
post_run_write_package,not_attempted,post-run coefficient executor package has not passed,"Generate the post-run executor package with eligibility, write plan, and reverify plan.",True,False
controlled_write_and_reverification,not_attempted,post-write reverification has not passed or has not been attempted,"After authorized writes, run independent post-write reverification evidence.",True,False
formal_archive_database_release,missing,closure readiness and formal archive closure sidecars missing,Close archive/database/report traceability gaps before formal release or database import.,True,False
