gate_id,title,status,source_path,source_status,reason,next_action,physical_meaning,release_gate,blocks_release,blocks_physical_flow
initialization_readiness,Initialization readiness,missing,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\formal_initialization\v1_5_initialization_readiness.json,,initialization readiness sidecar missing,Generate or refresh initialization readiness before any open-flow step.,"Confirms SN/device_code identity contract, MODE2 runtime, 1Hz upload, neutral temperature coefficients, PostgreSQL 18 preflight, and initialization evidence.",True,True,True
identity_getco_sn_traceability,"Identity, GETCO epoch-0, and SN traceability",missing,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\identity_getco_readiness\v1_5_getco_identity_readiness.json,,identity/GETCO readiness sidecar missing,Refresh read-only GETCO/SN identity evidence or resolve traceability review before release.,"Binds transport COM/GA labels to protocol ID, SN/device_code, and GETCO1-9 epoch-0 coefficients so later writes and reports remain traceable.",True,True,True
pre_gas_readiness,Pre-gas readiness,missing,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\pre_gas_readiness\v1_5_pre_gas_readiness.json,,pre-gas readiness sidecar missing,Close pre-gas gaps before starting mature CO2/H2O open-flow queues.,"Collects the gap list from initialization to gas-flow entry: pressure S9, route readiness, GETCO baseline, S7/S8 neutral state, CHECK timing, and database preflight.",True,True,True
pressure_senco9_pre_open_flow,Pressure/SENCO9 pre-open-flow check,review_required,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\v1_5_run_evidence_status.json,missing,pressure_quick_check=missing,Complete pressure/SENCO9 no-write review or controlled pressure write package before gas flow.,Pressure P must be traceable before CO2/H2O fitting so gas coefficients do not absorb pressure bias.,True,True,True
algorithm_profile_runner_dry_run,New-algorithm profile runner dry-run bundle,ready,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\algorithm_profile_runner_dry_run\v1_5_algorithm_profile_runner_dry_run.json,ready_for_profile_driven_runner_dry_run_review,profile-driven new-algorithm dry-run bundle is ready: CO2/H2O=47/14 and offline boundaries hold,"Review the profile-generated 47/14 runlist, readiness gate, and dry-run queue handoff before any future runner wiring.",Records that the new-algorithm profile can generate CO2 47 / H2O 14 runlist evidence and dry-run mature-queue handoff plans without executing queues or modifying mature runners.,False,False,False
formal_database_dry_run,PostgreSQL 18 formal database dry-run contract,ready,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\formal_database_dry_run\v1_5_formal_database_dry_run.json,ready_for_postgresql18_schema_dry_run_review,PostgreSQL 18 schema/insert dry-run is ready while real import remains unauthorized,"Review the PostgreSQL 18 schema, SN/device_code identity, insert-preview, and dry-run boundaries before enabling any separate database import step.",Checks database schema and insert-preview semantics without connecting to PostgreSQL or importing data; this keeps database readiness separate from formal archive release.,False,False,False
formal_database_import_preflight,PostgreSQL 18 formal database import preflight,review_required,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\formal_database_import_preflight\v1_5_formal_database_import_preflight.json,review_required,source_status=review_required; review_required_count=1; dsn_configured=False,"Review DSN configuration, migration lock, archive-release dependency, and explicit import authorization before running any separate production database import.","Checks that a production database import could be reviewed without opening PostgreSQL, applying migrations, or importing rows; this separates preflight evidence from real import execution.",False,False,False
formal_database_import_authorization,PostgreSQL 18 formal database import authorization,review_required,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\formal_database_import_authorization\v1_5_formal_database_import_authorization.json,review_required,source_status=review_required; review_required_count=3; preflight_ready=False; archive_release_ready=False; manual_authorization_ready=False; database_import_allowed=False,"Complete archive release and manual import authorization, then run a separate controlled database import command that consumes this authorization artifact.",Separates manual database-import authorization from both preflight review and actual PostgreSQL writes; the status artifact itself remains no-connect/no-import.,False,False,False
formal_database_import_command_contract,PostgreSQL 18 formal database import command contract,review_required,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\formal_database_import_command_contract\v1_5_formal_database_import_command_contract.json,review_required,source_status=review_required; review_required_count=4; authorization_ready=False; preflight_ready=False; archive_release_ready=False; evidence_bundle_ready=False; command_contract_ready=False,"Review the no-connect import command contract. A separate controlled command must consume the contract, authorization, preflight, archive, evidence bundle, and DSN env before any production import.",Separates manual import authorization from executable command inputs and keeps migration/import execution locked off until a future controlled command re-checks the full evidence chain.,False,False,False
formal_database_import_blocked_executor,PostgreSQL 18 formal database import blocked executor,review_required,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\docs\v1_5_flow_contract\formal_database_import_blocked_executor\v1_5_formal_database_import_blocked_executor.json,review_required,blocked executor input review_required_count=3; regenerate command contract/input references before executor review,"Keep database import locked. Build a separate controlled executor with double authorization before any PostgreSQL connection, migration, or row import is allowed.","Proves the future import command currently consumes reviewed inputs but remains a no-connect, no-migration, no-write stub rather than a production import.",False,False,False
