order,operation,stage,target_tables,natural_key,expected_record_scope,would_execute,failure_policy,source_artifact
1,offline_validate_frozen_inputs,pre_transaction,,artifact role + sha256,all bound input artifacts,False,hold_before_database_connection,
2,future_begin_postgresql18_transaction,transaction,,single transaction per authorized import attempt,one transaction,False,rollback_no_partial_acceptance,
3,future_import_stage_rows,initialization_identity,sensors;sensor_identity_aliases;runs;device_events,sn_code/device_code + protocol_device_id alias + run_id,0 planned analyzers plus run/point/artifact rows from frozen evidence,False,rollback_no_partial_acceptance,v1_5_formal_initialization_db_bundle.json
4,future_import_stage_rows,runtime_setup,sensors;sensor_identity_aliases;runs;device_events,sn_code + runtime setup event type + run_id,0 planned analyzers plus run/point/artifact rows from frozen evidence,False,rollback_no_partial_acceptance,v1_5_analyzer_runtime_setup_result.json
5,future_import_stage_rows,pressure_temperature_pre_open_flow,device_events;evidence_integrity_checks;reference_certificates,run_id + device + event_type,0 planned analyzers plus run/point/artifact rows from frozen evidence,False,rollback_no_partial_acceptance,pressure/S9 and temperature-neutral review sidecars
6,future_import_stage_rows,open_flow_sampling,points;samples;measurement_frames;qc_results;v1_5_evidence.calibration_points;v1_5_evidence.sample_files,run_id + point sequence/key + analyzer label + sample index/timestamp,0 planned analyzers plus run/point/artifact rows from frozen evidence,False,rollback_no_partial_acceptance,CO2/H2O queue CSV/JSON evidence
7,future_import_stage_rows,fit_and_candidate_review,fit_results;v1_5_evidence.coefficient_candidates;v1_5_evidence.qc_results,run_id + sensor/analyzer + algorithm/profile,0 planned analyzers plus run/point/artifact rows from frozen evidence,False,rollback_no_partial_acceptance,candidate coefficient review sidecars
8,future_import_stage_rows,controlled_write_and_readback,coefficient_versions;device_events;v1_5_evidence.coefficient_write_events,sensor_id + version or run_id + analyzer + event_type,0 planned analyzers plus run/point/artifact rows from frozen evidence,False,rollback_no_partial_acceptance,controlled write/readback/rollback sidecars
9,future_import_stage_rows,archive_report_release,v1_5_evidence.reports;v1_5_evidence.audit_events;v1_5_evidence.evidence_integrity_checks,run_id + artifact path/hash/report type,0 planned analyzers plus run/point/artifact rows from frozen evidence,False,rollback_no_partial_acceptance,"archive closure index, formal reports, hash manifests"
10,future_precommit_readback,precommit_readback,all planned target tables,run_id + sn_code/device_code + artifact sha256,"exact counts, identities, roles, and hashes from the frozen plan",False,rollback_no_partial_acceptance,
11,future_commit,commit,all planned target tables,authorization_id + run_id + evidence_bundle_sha256,one atomic committed import,False,hold_for_dba_and_reviewer_on_uncertain_commit,
